사업자등록번호,데이터수집일자,조사년도,분석기업매출액,산업평균매출액,분석기업매출액증감률,산업평균매출액증감률,기업연구개발액,평균연구개발액,기업연구개발액증감률,평균연구개발액증감률,기업특허실용신안출원건수,평균특허실용신안출원건수,기업특허실용신안생산력금액,평균특허실용신안생산력금액
1058301122,20220317,2020,,,,7,,,,,,,, 
1058534573,20220317,2020,,,,8,,,,,,,, 
1058201480,20220317,2020,,,,8,,,,,,,, 
1058173850,20220317,2019,,,,10,,796.34,,6,,,, 
1052139784,20220317,2017,,70769.84,,7,,511.57,,9,,0.0,,6
1058672405,20220317,2018,,,,14,,11634.01,,16,,,, 
1058604436,20220317,2020,,,,3,,,,,,,, 
1058275480,20220317,2018,,,,17,,11634.01,,60,,,, 
1058222019,20220317,2018,0,,,,,,,,,,, 
1058260347,20220317,2021,,,,,,,,,,,, 
1058515052,20220317,2018,3800304182,,2.75,7,,754.82,,35,,,, 
1058710293,20220317,2020,,,,8,,,,,,,, 
1058704506,20220317,2021,,,,,,,,,,,, 
1058220724,20220317,2018,,,,7,,65.13,,17,,,, 
1058706746,20220317,2021,,,,,,,,,,,, 
1058219756,20220317,2017,,,,5,,57.02,,9,,,, 
1058271558,20220317,2021,,,,,,,,,,,, 
1058687043,20220317,2017,,,,10,,565.59,,40,,,, 
1052189023,20220317,2019,,,,,,,,,,,, 
1052195049,20220317,2019,,72468.79,,12,,666.05,,14,,,, 
1058188799,20220317,2017,15902439,,23.52,15,,4887.58,,2,,,, 
1058191028,20220317,2017,,,,11,,565.59,,12,,,, 
1058212942,20220317,2018,,,,7,,65.13,,17,,,, 
1058221039,20220317,2020,,,,4,,,,,,,, 
1058264697,20220317,2021,,,,,,,,,,,, 
1058714741,20220317,2018,1832609,,41.1,14,,11634.01,,16,,,, 
1058265338,20220317,2019,,,,,,,,,,,, 
1058213811,20220317,2021,,,,,,,,,,,, 
1058723916,20220317,2021,,,,,,,,,,,, 
1058219659,20220317,2019,,,,49,,251.77,,38,,,, 
1058533050,20220317,2019,,,,49,,251.77,,38,,,, 
1058611484,20220317,2020,,,,8,,,,,,,, 
1058528085,20220317,2019,16602895,3497979.06,28.63,8,,141540.34,,4,,,, 
1058533744,20220317,2017,,,,7,,10468.07,,111,,,, 
1058606583,20220317,2018,,,,0,,11634.01,,19,,,, 
1058533633,20220317,2020,,,,14,,,,,,,, 
1058654315,20220317,2021,,,,,,,,,,,, 
1058221155,20220317,2017,,,,11,,565.59,,12,,,, 
1058615909,20220317,2018,521108,,,7,,754.82,,35,,,, 
1058619564,20220317,2018,2543469,,28.89,1,,4791.89,,1,,,, 
1058693716,20220317,2019,,,,14,,13956.81,,25,,,, 
1058206396,20220317,2021,,,,,,,,,,,, 
1052079979,20220317,2020,,,,1,,,,,,,, 
1058681485,20220317,2020,,,,8,,,,,,,, 
1058268674,20220317,2017,,,,10,,57.02,,48,,,, 
1058702997,20220317,2018,,70848.07,,6,,595.71,,53,,0.0,,5
1058606526,20220317,2021,,,,,,,,,,,, 
1052770996,20220317,2019,,,,10,,796.34,,7,,,, 
1058260099,20220317,2017,,,,,,,,,,,, 
1058661285,20220317,2019,,,,45,,13956.81,,205,,,, 
1058671876,20220317,2021,,,,,,,,,,,, 
1058649786,20220317,2019,,,,10,,796.34,,7,,,, 
1058262909,20220317,2017,,,,,,,,,,,, 
1058261098,20220317,2018,,,,17,,11634.01,,60,,,, 
1058680638,20220317,2021,,,,,,,,,,,, 
1052230252,20220317,2020,,,,,,,,,,,, 
1058677021,20220317,2017,22910201,,32.22,11,,565.59,,12,,,, 
1058222116,20220317,2020,,,,4,,,,,,,, 
1058275229,20220317,2017,,,,,,,,,,,, 
1058187825,20220317,2017,,,,11,,10468.07,,11,,,, 
1058262554,20220317,2019,,,,,,,,,,,, 
1058210885,20220317,2020,,,,,,,,,,,, 
1058207774,20220317,2021,,,,,,,,,,,, 
1058213602,20220317,2019,,,,10,,796.34,,7,,,, 
1058613371,20220317,2021,,,,,,,,,,,, 
1058701004,20220317,2020,,,,1,,,,,,,, 
1058204516,20220317,2019,,,,,,,,,,,, 
1058712326,20220317,2017,2113454,,12.69,11,,565.59,,12,,,, 
1058705882,20220317,2020,,,,1,,,,,,,, 
1058140913,20220317,2018,48029823,,0.12,14,,11634.01,,16,,,, 
1058650959,20220317,2019,,,,4,,4496.63,,3,,,, 
1058704409,20220317,2019,,,,9,,13956.81,,52,,,, 
1052526628,20220317,2019,,3497979.06,,8,,141540.34,,4,,,, 
1058179892,20220317,2019,1602430,,3.6,4,,4496.63,,3,,,, 
