사업자번호,최종BM점수,최종BM등급,핵심파트너최종점수 ,핵심파트너등급 ,핵심파트너점수,핵심활동최종점수,핵심활동등급,핵심활동점수  ,핵심자원 최종 점수,핵심자원등급 ,핵심자원점수 ,가치제안최종점수,가치제안등급,가치제안점수,마케팅채널최종점수,마케팅채널등급,마케팅채널점수,고객관계최종점수,고객관계등급,고객관계점수,비용구조최종점수,비용구조 등급,비용구조 점수,수익구조최종점수,수익구조 등급,수익구조 점수,고객관계최종점수,고객관계등급
2136,57,C,1,E,6,,B,7,,B,10,,A,2,,E,8,,A,7,,B,4,,C,12,,A
2137,56,C,3,D,3,,D,7,,B,10,,A,5,,C,8,,A,3,,D,1,,E,16,,A
2138,74,B,5,C,8,,A,10,,A,25,,A,6,,B,6,,B,3,,D,3,,D,8,,A
2139,77,B,5,C,6,,B,5,,C,20,,A,6,,B,5,,C,6,,C,4,,C,20,,A
2140,86,A,5,C,8,,A,12,,A,20,,A,8,,A,6,,B,4,,C,3,,D,20,,A
2141,60,B,5,C,3,,D,7,,B,15,,A,5,,C,5,,C,6,,C,3,,D,12,,A
2142,81,A,5,C,6,,B,7,,B,20,,A,8,,A,5,,C,6,,C,4,,C,20,,A
2143,76,B,3,D,6,,B,7,,B,25,,A,5,,C,8,,A,7,,B,3,,D,12,,A
2144,65,B,3,D,5,,C,10,,A,20,,A,6,,B,2,,E,7,,B,4,,C,8,,A
2145,74,B,3,D,6,,B,10,,A,20,,A,3,,D,6,,B,7,,B,3,,D,16,,A
2146,73,B,3,D,5,,C,12,,A,20,,A,5,,C,8,,A,7,,B,6,,C,8,,A
2147,65,B,3,D,5,,C,7,,B,20,,A,5,,C,2,,E,7,,B,4,,C,12,,A
2148,82,A,4,C,5,,C,12,,A,20,,A,6,,B,3,,D,6,,C,6,,C,20,,A
2149,57,C,3,D,6,,B,7,,B,10,,A,5,,C,5,,C,4,,C,4,,C,12,,A
2150,54,C,4,C,3,,D,7,,B,15,,A,3,,D,5,,C,4,,C,4,,C,8,,A
2151,69,B,3,D,5,,C,7,,B,20,,A,5,,C,6,,B,7,,B,4,,C,12,,A
2152,77,B,5,C,5,,C,7,,B,20,,A,8,,A,8,,A,4,,C,4,,C,16,,A
2153,75,B,5,C,5,,C,10,,A,15,,A,6,,B,3,,D,7,,B,4,,C,20,,A
2154,62,B,3,D,6,,B,10,,A,10,,A,5,,C,6,,B,3,,D,3,,D,16,,A
2155,74,B,4,C,5,,C,10,,A,15,,A,8,,A,2,,E,7,,B,4,,C,20,,A
2156,62,B,4,C,5,,C,7,,B,20,,A,3,,D,5,,C,3,,D,7,,B,8,,A
2157,72,B,2,D,5,,C,10,,A,20,,A,3,,D,6,,B,6,,C,4,,C,16,,A
2158,79,B,5,C,6,,B,12,,A,20,,A,5,,C,5,,C,7,,B,3,,D,16,,A
2159,79,B,3,D,5,,C,10,,A,20,,A,8,,A,6,,B,7,,B,4,,C,16,,A
2160,52,C,4,C,6,,B,2,,D,20,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2161,67,B,5,C,2,,E,7,,B,20,,A,6,,B,6,,B,4,,C,4,,C,12,,A
2162,53,C,3,D,6,,B,2,,D,20,,A,5,,C,3,,D,1,,E,4,,C,8,,A
2163,63,B,3,D,3,,D,10,,A,10,,A,6,,B,3,,D,6,,C,6,,C,16,,A
2164,60,B,2,D,5,,C,7,,B,10,,A,8,,A,6,,B,3,,D,3,,D,16,,A
2165,54,C,2,D,8,,A,7,,B,5,,C,6,,B,8,,A,6,,C,4,,C,8,,A
2166,60,B,3,D,6,,B,7,,B,15,,A,3,,D,5,,C,6,,C,3,,D,12,,A
1872,73,B,4,C,6,,B,12,,A,15,,A,6,,B,6,,B,7,,B,4,,C,12,,A
2167,79,B,3,D,5,,C,7,,B,20,,A,8,,A,6,,B,7,,B,7,,B,16,,A
2168,53,C,5,C,6,,B,2,,D,20,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2169,55,C,4,C,5,,C,7,,B,20,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2170,54,C,2,D,5,,C,7,,B,15,,A,3,,D,5,,C,7,,B,6,,C,4,,C
2171,77,B,5,C,5,,C,7,,B,15,,A,8,,A,8,,A,7,,B,6,,C,16,,A
2172,87,A,3,D,8,,A,12,,A,20,,A,8,,A,6,,B,7,,B,3,,D,20,,A
2173,76,B,4,C,5,,C,10,,A,15,,A,6,,B,6,,B,6,,C,4,,C,20,,A
2174,74,B,5,C,6,,B,7,,B,15,,A,8,,A,6,,B,7,,B,3,,D,16,,A
2175,77,B,5,C,5,,C,12,,A,20,,A,3,,D,5,,C,4,,C,3,,D,20,,A
2176,70,B,4,C,6,,B,7,,B,15,,A,8,,A,8,,A,7,,B,3,,D,12,,A
2177,70,B,5,C,8,,A,7,,B,15,,A,5,,C,8,,A,7,,B,3,,D,12,,A
2178,80,B,5,C,8,,A,10,,A,20,,A,8,,A,5,,C,1,,E,3,,D,20,,A
2179,67,B,4,C,3,,D,7,,B,20,,A,2,,E,8,,A,7,,B,4,,C,12,,A
2180,80,B,4,C,6,,B,10,,A,20,,A,5,,C,6,,B,6,,C,3,,D,20,,A
2181,87,A,5,C,6,,B,10,,A,20,,A,6,,B,8,,A,7,,B,4,,C,20,,A
2182,59,C,5,C,5,,C,7,,B,10,,A,6,,B,8,,A,7,,B,3,,D,8,,A
2183,55,C,5,C,6,,B,5,,C,20,,A,3,,D,6,,B,1,,E,4,,C,4,,C
2184,84,A,5,C,6,,B,7,,B,20,,A,8,,A,8,,A,6,,C,4,,C,20,,A
2185,80,A,5,C,3,,D,12,,A,20,,A,6,,B,6,,B,1,,E,6,,C,20,,A
2186,72,B,5,C,5,,C,10,,A,20,,A,3,,D,3,,D,7,,B,3,,D,16,,A
2187,57,C,2,D,8,,A,7,,B,15,,A,5,,C,5,,C,4,,C,3,,D,8,,A
2188,85,A,5,C,5,,C,10,,A,20,,A,6,,B,8,,A,6,,C,6,,C,20,,A
2189,66,B,5,C,6,,B,5,,C,10,,A,3,,D,6,,B,4,,C,6,,C,20,,A
2190,46,C,4,C,5,,C,7,,B,10,,A,3,,D,5,,C,1,,E,3,,D,8,,A
2191,57,C,1,E,5,,C,10,,A,10,,A,3,,D,6,,B,7,,B,3,,D,12,,A
2192,47,C,1,E,5,,C,12,,A,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2193,45,C,2,D,2,,E,2,,D,20,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2194,71,B,1,E,5,,C,10,,A,20,,A,8,,A,5,,C,7,,B,4,,C,12,,A
2195,68,B,1,E,6,,B,10,,A,15,,A,8,,A,6,,B,7,,B,7,,B,8,,A
2196,65,B,1,E,6,,B,7,,B,20,,A,3,,D,6,,B,4,,C,4,,C,12,,A
2197,41,C,1,E,2,,E,10,,A,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2198,63,B,1,E,5,,C,5,,C,10,,A,6,,B,6,,B,7,,B,7,,B,16,,A
2199,52,C,1,E,5,,C,7,,B,10,,A,3,,D,6,,B,4,,C,3,,D,12,,A
2200,69,B,1,E,6,,B,10,,A,15,,A,8,,A,5,,C,6,,C,7,,B,12,,A
2201,43,C,1,E,2,,E,2,,D,10,,A,8,,A,5,,C,7,,B,4,,C,4,,C
2202,63,B,1,E,6,,B,7,,B,15,,A,6,,B,5,,C,7,,B,7,,B,8,,A
2203,60,B,1,E,5,,C,2,,D,15,,A,6,,B,5,,C,6,,C,4,,C,16,,A
2204,73,B,1,E,6,,B,10,,A,15,,A,6,,B,6,,B,7,,B,6,,C,16,,A
2205,58,C,1,E,6,,B,2,,D,20,,A,5,,C,6,,B,7,,B,6,,C,4,,C
2206,64,B,1,E,6,,B,7,,B,25,,A,5,,C,3,,D,4,,C,4,,C,8,,A
2207,55,C,1,E,2,,E,10,,A,10,,A,6,,B,3,,D,6,,C,6,,C,12,,A
2208,58,C,1,E,5,,C,7,,B,20,,A,3,,D,3,,D,4,,C,3,,D,12,,A
2209,50,C,1,E,6,,B,2,,D,10,,A,6,,B,6,,B,4,,C,1,,E,12,,A
2210,52,C,1,E,8,,A,7,,B,10,,A,3,,D,5,,C,1,,E,4,,C,12,,A
2211,90,A,3,D,8,,A,10,,A,25,,A,5,,C,8,,A,7,,B,4,,C,20,,A
1820,92,A,5,C,8,,A,12,,A,20,,A,8,,A,8,,A,7,,B,4,,C,20,,A
2212,78,B,5,C,6,,B,7,,B,15,,A,8,,A,6,,B,7,,B,3,,D,20,,A
2213,70,B,4,C,8,,A,7,,B,25,,A,5,,C,5,,C,6,,C,3,,D,8,,A
2214,68,B,3,D,6,,B,7,,B,25,,A,5,,C,6,,B,6,,C,1,,E,8,,A
2215,64,B,3,D,6,,B,12,,A,20,,A,8,,A,5,,C,3,,D,3,,D,4,,C
2216,65,B,5,C,5,,C,7,,B,15,,A,8,,A,2,,E,7,,B,4,,C,12,,A
2217,69,B,2,D,6,,B,7,,B,15,,A,6,,B,5,,C,7,,B,4,,C,16,,A
2218,46,C,3,D,2,,E,2,,D,20,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2219,68,B,5,C,5,,C,7,,B,20,,A,3,,D,5,,C,3,,D,4,,C,16,,A
2220,81,A,5,C,6,,B,10,,A,20,,A,6,,B,6,,B,6,,C,6,,C,16,,A
2221,80,B,3,D,6,,B,7,,B,20,,A,8,,A,6,,B,7,,B,6,,C,16,,A
2222,58,C,3,D,6,,B,7,,B,5,,C,6,,B,6,,B,7,,B,4,,C,12,,A
2223,62,B,3,D,5,,C,7,,B,15,,A,6,,B,8,,A,4,,C,6,,C,8,,A
2224,69,B,3,D,2,,E,12,,A,20,,A,8,,A,6,,B,4,,C,6,,C,8,,A
2225,71,B,3,D,6,,B,10,,A,25,,A,5,,C,8,,A,6,,C,4,,C,4,,C
2226,84,A,2,D,6,,B,7,,B,25,,A,6,,B,8,,A,6,,C,7,,B,16,,A
2227,54,C,3,D,6,,B,10,,A,15,,A,3,,D,5,,C,4,,C,4,,C,4,,C
2228,67,B,5,C,5,,C,10,,A,15,,A,8,,A,6,,B,6,,C,4,,C,8,,A
2229,63,B,4,C,5,,C,7,,B,25,,A,5,,C,5,,C,6,,C,3,,D,4,,C
2230,52,C,3,D,5,,C,10,,A,10,,A,3,,D,5,,C,4,,C,4,,C,8,,A
2231,63,B,3,D,5,,C,7,,B,20,,A,3,,D,5,,C,6,,C,3,,D,12,,A
2232,50,C,4,C,6,,B,7,,B,10,,A,5,,C,5,,C,6,,C,3,,D,4,,C
2233,53,C,3,D,2,,E,2,,D,20,,A,3,,D,8,,A,7,,B,4,,C,4,,C
2234,73,B,4,C,5,,C,7,,B,20,,A,3,,D,8,,A,6,,C,4,,C,16,,A
2235,66,B,2,D,5,,C,10,,A,20,,A,5,,C,3,,D,7,,B,7,,B,8,,A
2236,67,B,5,C,5,,C,7,,B,20,,A,6,,B,3,,D,3,,D,6,,C,12,,A
2237,73,B,3,D,5,,C,10,,A,20,,A,5,,C,8,,A,7,,B,4,,C,12,,A
